filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
Set2_DSCN4046.JPG_0.jpg,105110,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":416,""y"":282,""width"":242,""height"":221}","{""name"":""Fish\n"",""type"":""Fish"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""Fish"":""""}"
Set2_DSCN4031.JPG_0.jpg,164000,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":242,""y"":324,""width"":154,""height"":96}","{""name"":""Fish\n"",""type"":""Fish"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""Fish"":""""}"
Set2_DSCN4022.JPG_0.jpg,188332,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":339,""y"":299,""width"":366,""height"":171}","{""name"":""Fish"",""type"":""Fish"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""Fish"":""""}"
Set2_DSCN4012.JPG_0.jpg,169405,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":569,""y"":281,""width"":289,""height"":200}","{""name"":""Fish"",""type"":""Fish"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""Fish"":""""}"
Set2_DSCN4010.JPG_0.jpg,166960,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":261,""y"":127,""width"":513,""height"":235}","{""name"":""Fish"",""type"":""Fish"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""Fish"":""""}"
Set2_DSCN3996.JPG_0.jpg,120956,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":295,""y"":326,""width"":428,""height"":266}","{""name"":""fish"",""type"":""Fish"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""Fish"":""""}"
Set2_DSCN3995.JPG_0.jpg,116778,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":333,""y"":260,""width"":308,""height"":258}","{""name"":""fish"",""type"":""Fish"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""Fish"":""""}"
Set2_DSCN3994.JPG_0.jpg,137573,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":223,""y"":55,""width"":436,""height"":188}","{""name"":""Fish"",""type"":""Fish"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""Fish"":""""}"
Set2_DSCN3986.JPG_0.jpg,121056,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":361,""y"":262,""width"":327,""height"":345}","{""name"":""Fish"",""type"":""Fish"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""Fish"":""""}"
Set2_DSCN3982.JPG_0.jpg,103306,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":152,""y"":349,""width"":242,""height"":237}","{""name"":""Fish"",""type"":""Fish"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""Fish"":""""}"
Set2_DSCN3981.JPG_0.jpg,157951,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":576,""y"":502,""width"":254,""height"":213}","{""name"":""Fish"",""type"":""Fish"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""Fish"":""""}"
Set2_DSCN3976.JPG_0.jpg,134740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,0,"{""name"":""rect"",""x"":469,""y"":393,""width"":430,""height"":166}","{""name"":""Fish"",""type"":""Fish"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""Fish"":""""}"
Set2_DSCN3976.JPG_0.jpg,134740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,1,"{""name"":""rect"",""x"":224,""y"":112,""width"":524,""height"":171}","{""name"":""Fish"",""type"":""Fish"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""Fish"":""""}"
